 ,Area,Mean,Min,Max,Length
249,25.444,92.687,66.113,122.645,32.645
250,310.059,253.964,0.001,255.000,402.311
251,73.964,118.310,73.333,139.127,95.723
252,23.077,106.060,95.775,128.172,29.392
253,40.237,119.507,98.609,128.076,51.758
254,25.444,97.579,83.864,123.904,32.353
255,88.757,118.414,103.550,129.694,115.255
256,21.302,94.808,79.413,119.488,27.196
257,79.882,115.607,82.108,128.579,103.803
258,20.118,95.116,74.288,109.163,25.570
259,67.456,101.011,62.302,125.008,87.117
260,24.852,85.098,66.030,124.333,32.133
261,52.071,124.873,102.667,135.107,67.242
262,21.302,82.087,54.895,97.897,27.575
263,111.243,119.731,68.395,132.642,144.286
264,21.302,102.694,87.667,118.333,26.923
265,125.444,118.748,63.880,132.590,162.538
266,20.118,71.526,50.828,94.097,26.120
267,43.195,104.906,78.667,127.532,56.001
268,20.118,97.181,73.667,109.952,26.131
269,83.432,127.117,75.129,139.821,107.974
270,20.118,102.961,85.932,119.029,25.396
271,125.444,125.193,105.465,134.079,163.087
272,21.893,91.471,73.537,111.227,28.368
273,51.479,127.858,72.127,150.333,66.501
274,26.036,91.918,75.501,116.741,33.397
275,86.391,124.025,84.697,133.589,112.422
276,22.485,98.372,84.667,115.477,28.833
277,88.757,132.413,62.667,157.451,114.669
278,21.893,89.503,60.197,109.818,28.242
279,62.722,92.837,60.915,133.011,81.634
280,24.260,100.907,86.886,113.887,31.113
281,24.260,120.370,104.693,128.933,31.393
282,20.710,105.958,97.998,114.521,26.199
283,55.030,129.621,89.210,139.566,71.228
284,23.077,93.683,75.333,108.974,29.443
285,86.982,122.074,91.789,132.089,113.144
286,20.710,113.511,93.667,127.679,26.868
287,97.633,123.956,79.774,154.793,126.256
288,20.710,101.890,88.196,109.920,26.758
289,89.941,120.638,96.667,129.643,116.638
290,24.260,92.947,75.031,113.667,30.961
291,142.012,116.923,65.891,139.008,184.468
292,20.710,92.126,78.053,108.227,26.199
293,111.834,119.335,99.547,133.155,144.714
294,27.219,78.418,61.837,110.483,34.811
295,84.615,115.171,66.301,125.450,109.346
296,24.260,98.486,74.000,113.373,30.769
297,103.550,123.902,111.333,141.577,134.235
298,23.077,104.174,90.167,121.528,29.322
299,110.059,123.858,116.000,131.285,142.486
300,22.485,92.604,78.456,107.006,28.627
301,117.751,115.418,65.361,135.797,153.069
302,21.302,121.965,15.713,254.731,27.617
303,98.817,134.606,3.569,255.000,129.554
304,22.485,93.371,74.131,105.453,28.720
305,95.858,124.927,99.333,131.602,124.182
306,20.118,104.230,79.966,115.550,26.029
307,126.036,123.396,90.099,131.067,163.393
308,19.527,116.270,89.968,135.810,24.855
309,172.781,132.847,103.452,149.690,224.288
310,18.343,107.810,88.886,137.691,23.597
311,463.905,133.050,65.469,149.596,602.540
312,13.018,77.283,59.870,102.000,16.354
313,5.917,108.399,87.000,122.717,7.092
314,17.160,121.817,80.259,151.813,21.771
315,320.710,140.104,115.333,149.663,416.407
316,19.527,122.238,71.165,150.665,25.197
317,271.006,127.369,73.479,150.485,351.747
318,17.751,97.352,80.171,120.211,22.871
319,266.272,129.474,95.000,140.516,345.772
320,18.343,123.353,102.093,134.873,23.446
321,221.302,133.219,102.037,146.573,287.237
322,18.935,105.371,90.000,128.693,23.958
323,228.402,129.620,94.073,141.207,296.362
324,20.118,115.498,104.287,123.369,25.489
325,40.237,130.880,102.581,145.210,51.725
326,15.976,116.812,79.619,134.127,20.308
327,332.544,136.435,2.821,255.000,432.400
328,19.527,96.939,72.667,124.667,24.615
329,194.675,99.049,72.262,112.927,252.932
330,21.302,81.835,70.916,100.066,27.098
331,26.627,94.192,71.667,103.333,34.253
332,18.935,102.765,81.307,117.199,24.531
333,232.544,107.829,83.417,120.406,301.607
334,18.343,96.931,67.000,119.691,23.433
335,233.136,98.163,64.167,116.724,302.835
336,21.302,77.678,66.794,88.678,27.316
337,21.893,90.270,81.910,100.170,28.359
338,19.527,80.794,71.375,95.942,25.115
339,46.746,90.302,69.965,101.399,60.102
340,20.118,97.160,86.242,105.433,25.570
341,173.373,103.008,66.387,113.794,226.819
342,20.710,85.195,67.114,98.398,26.154
343,92.899,100.783,66.786,118.476,120.653
344,17.751,96.622,84.543,105.684,22.624
345,171.598,103.341,68.030,113.994,222.394
346,17.160,129.888,4.266,255.000,21.593
347,300.000,104.318,28.175,254.999,389.435
348,16.568,116.134,99.950,132.071,20.783
349,242.012,115.958,84.322,126.326,314.691
350,15.385,79.993,63.300,91.954,19.702
351,62.722,98.147,62.667,118.381,81.951
352,15.385,130.613,97.667,153.426,19.415
353,300.592,118.128,70.242,133.336,390.435
354,15.385,103.763,81.249,120.540,19.460
355,420.118,119.369,73.613,140.698,545.837
356,14.793,114.172,89.333,134.059,18.605
357,32.544,100.386,65.777,138.951,42.553
358,14.793,77.631,60.119,92.618,19.045
359,129.586,106.601,59.854,129.138,167.979
360,14.201,123.311,92.000,141.870,18.024
361,286.391,117.439,64.709,135.640,371.696
362,14.793,127.270,86.333,141.342,18.621
363,628.994,120.349,75.094,135.808,817.091
364,15.385,103.059,85.852,116.144,19.292
365,316.568,119.566,76.961,135.155,411.075
366,18.935,80.612,63.912,96.304,24.081
367,104.142,108.808,72.241,123.508,135.086
368,17.751,67.702,50.411,106.096,22.871
369,188.166,118.213,62.242,131.773,244.311
370,19.527,101.843,88.333,115.682,24.663
371,52.663,118.259,84.280,126.667,67.858
372,19.527,102.366,89.978,113.675,24.771
373,13.018,112.361,108.000,123.861,16.800
374,18.935,103.594,70.976,133.998,23.883
375,268.047,120.193,57.874,141.373,348.187
376,20.118,99.153,84.801,116.132,25.466
377,78.107,120.872,108.840,131.581,101.548
378,17.751,75.596,51.203,102.321,22.728
379,98.817,125.198,83.333,135.570,128.427
380,17.160,113.971,97.271,129.505,22.188
381,144.970,115.962,65.395,133.299,188.469
382,16.568,109.318,96.786,119.723,21.220
383,69.231,120.842,90.368,131.730,89.813
384,18.935,103.813,97.113,118.187,24.447
385,27.811,116.673,108.667,141.525,35.767
386,15.976,118.979,96.333,133.118,20.235
387,143.195,118.676,69.050,136.926,186.061
388,18.935,106.069,83.314,122.667,24.325
389,349.704,122.720,80.443,138.015,454.488
390,17.751,105.247,91.203,118.400,22.948
391,30.178,118.364,99.667,129.063,38.782
392,17.751,103.161,88.680,121.542,22.871
393,184.615,124.394,97.555,135.878,239.605
394,17.160,104.574,77.000,125.267,21.893
395,111.834,113.196,77.700,136.222,145.390
396,19.527,111.242,99.333,121.631,24.807
397,36.686,123.094,100.224,128.607,47.316
398,17.751,113.318,102.491,126.043,22.400
399,41.420,113.906,94.896,128.973,53.845
400,17.751,101.669,83.000,112.979,22.948
401,23.077,123.684,115.667,136.458,29.253
402,19.527,105.550,95.383,116.020,24.771
403,81.657,116.533,66.980,136.240,105.762
404,20.710,111.070,98.152,123.000,26.469
405,20.710,120.920,85.123,133.687,26.491
406,14.793,120.240,94.822,132.274,18.999
407,413.609,118.446,14.584,255.000,537.122
408,289.349,120.333,17.186,255.000,375.902
409,279.882,120.986,4.463,255.000,363.370
410,271.598,123.703,2.549,255.000,352.668
411,22.485,83.043,71.113,92.327,29.190
412,108.876,111.485,87.290,120.641,140.821
413,21.302,98.886,84.279,111.942,27.316
414,136.686,114.753,94.333,122.281,177.520
415,138.462,114.976,98.667,124.312,180.022
416,24.260,88.569,78.000,112.000,30.769
417,86.982,109.594,88.973,120.944,112.815
418,23.669,102.355,85.661,108.803,30.157
419,19.527,92.295,60.821,120.651,24.775
420,24.260,88.068,75.389,104.710,31.397
421,59.763,114.802,98.556,126.162,78.079
422,17.160,102.546,90.667,112.337,22.201
423,115.976,121.047,82.000,127.386,150.220
424,20.710,91.111,80.071,101.878,26.334
425,147.337,112.333,84.770,120.163,191.536
426,18.935,97.063,86.667,106.249,24.081
427,10.059,102.604,87.063,117.322,12.522
428,309.467,190.938,0.977,255.000,401.541
429,21.893,85.568,77.857,92.176,28.221
430,131.361,113.592,82.000,133.206,170.529
431,22.485,89.453,79.333,99.989,28.462
432,58.580,117.698,75.651,125.543,76.021
433,20.118,114.883,84.534,125.226,25.570
434,25.444,111.925,84.792,133.608,32.581
435,16.568,106.203,89.000,115.839,20.897
436,9.467,108.798,86.341,131.971,11.564
437,23.669,111.427,76.000,128.772,30.654
438,34.911,128.822,89.641,144.164,45.099
439,21.302,106.651,71.667,123.221,27.456
440,26.036,120.143,71.000,133.920,33.268
441,23.077,112.370,103.000,122.202,29.723
442,25.444,125.601,106.364,134.515,32.448
443,23.077,99.505,84.742,116.461,29.603
444,44.970,120.093,76.667,134.647,58.107
445,23.077,112.594,83.237,121.969,29.291
446,20.710,123.279,99.654,132.829,26.782
447,21.893,94.298,67.590,115.667,28.000
448,34.911,135.491,106.000,144.633,45.044
449,20.710,115.949,109.000,119.668,26.702
450,33.136,138.428,19.689,254.980,43.107
451,24.260,105.851,95.063,127.333,31.237
452,34.911,128.661,103.967,141.918,44.900
453,19.527,95.325,79.302,112.965,24.855
454,43.195,112.727,84.077,123.585,55.494
455,22.485,97.861,72.000,117.836,28.627
456,137.870,115.630,57.666,125.601,178.869
457,20.710,104.899,76.695,126.438,26.835
458,145.562,121.115,68.094,134.333,189.174
459,21.893,83.359,63.071,106.687,27.735
460,108.876,115.375,66.721,134.252,140.969
461,24.852,93.064,70.333,112.210,32.216
462,26.036,106.578,69.000,116.992,33.261
463,23.669,87.010,73.333,105.503,30.089
464,89.941,114.434,103.176,126.640,116.882
465,26.036,96.192,73.164,123.737,33.113
466,80.473,110.909,70.000,122.098,104.375
467,24.852,97.148,85.077,108.804,31.576
468,37.278,115.306,95.080,123.005,48.811
469,20.118,103.217,96.648,112.386,26.029
